# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/local/bin/run_BUSCO.py -i Daphnia.cds.aed.0.6.fasta -o output -l arthropoda_odb9/ -m transcriptome -c 1
#
# Busco id	Status	Sequence	Score	Length
EOG090X02IY	Complete	Daphnia01498-RA	446.1	436
EOG090X02J8	Fragmented	Daphnia03795-RA	74.4	173
EOG090X02LG	Complete	Daphnia10126-RA	362.9	601
EOG090X02LQ	Complete	Daphnia02282-RA	830.3	550
EOG090X02LT	Complete	Daphnia12587-RA	329.4	249
EOG090X02MG	Complete	Daphnia01679-RA	571.0	435
EOG090X02MW	Complete	Daphnia03520-RA	360.5	322
EOG090X02NT	Complete	Daphnia00264-RA	578.7	605
EOG090X02PU	Complete	Daphnia07636-RA	869.3	521
EOG090X02QS	Duplicated	Daphnia13345-RA	873.6	493
EOG090X02QS	Duplicated	Daphnia13345-RB	873.6	493
EOG090X02QX	Complete	Daphnia00543-RA	878.3	545
EOG090X02RM	Complete	Daphnia03683-RA	303.6	206
EOG090X02RQ	Complete	Daphnia00560-RA	835.0	456
EOG090X02S0	Fragmented	Daphnia12633-RA	136.4	246
EOG090X02SD	Complete	Daphnia11500-RA	611.4	481
EOG090X02SJ	Complete	Daphnia10167-RA	711.7	634
EOG090X02T5	Complete	Daphnia10419-RA	753.8	432
EOG090X02VY	Complete	Daphnia03338-RA	828.3	636
EOG090X02WG	Missing
EOG090X02Z1	Missing
EOG090X02ZJ	Complete	Daphnia06529-RA	367.1	264
EOG090X0302	Complete	Daphnia04673-RA	830.1	583
EOG090X030C	Complete	Daphnia06400-RA	778.2	592
EOG090X030S	Complete	Daphnia09863-RA	913.3	499
EOG090X0318	Complete	Daphnia04894-RA	582.8	369
EOG090X031T	Complete	Daphnia06273-RA	540.0	372
EOG090X0324	Complete	Daphnia01477-RA	580.2	475
EOG090X032C	Complete	Daphnia04136-RA	689.4	440
EOG090X032R	Duplicated	Daphnia03695-RA	706.0	441
EOG090X032R	Duplicated	Daphnia03695-RB	706.0	441
EOG090X033I	Complete	Daphnia12269-RA	920.2	488
EOG090X033O	Duplicated	Daphnia03358-RC	599.8	361
EOG090X033O	Duplicated	Daphnia03358-RD	599.8	361
EOG090X033O	Duplicated	Daphnia03358-RE	599.8	361
EOG090X0363	Complete	Daphnia11583-RA	866.1	482
EOG090X0364	Complete	Daphnia04453-RA	605.0	390
EOG090X036X	Complete	Daphnia03363-RA	527.1	456
EOG090X037B	Complete	Daphnia07877-RA	306.4	305
EOG090X037N	Duplicated	Daphnia05067-RA	553.4	410
EOG090X037N	Duplicated	Daphnia05067-RB	553.5	410
EOG090X0398	Complete	Daphnia03827-RA	280.1	174
EOG090X03A4	Complete	Daphnia02408-RA	553.9	365
EOG090X03AJ	Duplicated	Daphnia05871-RA	633.8	444
EOG090X03AJ	Duplicated	Daphnia05871-RB	632.4	444
EOG090X03AJ	Duplicated	Daphnia05871-RC	632.4	444
EOG090X03AK	Complete	Daphnia11758-RA	961.2	564
EOG090X03B0	Duplicated	Daphnia01283-RA	369.7	371
EOG090X03B0	Duplicated	Daphnia01285-RA	397.5	379
EOG090X03B0	Duplicated	Daphnia03851-RA	351.3	371
EOG090X03B7	Complete	Daphnia12420-RA	827.8	529
EOG090X03CE	Duplicated	Daphnia10648-RB	605.2	463
EOG090X03CE	Duplicated	Daphnia10648-RC	539.2	381
EOG090X03CE	Duplicated	Daphnia10648-RD	604.7	463
EOG090X03DA	Complete	Daphnia07940-RA	935.8	444
EOG090X03DI	Complete	Daphnia05803-RA	931.0	669
EOG090X03EV	Complete	Daphnia04206-RA	448.7	374
EOG090X03FQ	Complete	Daphnia03081-RA	554.0	466
EOG090X03G1	Complete	Daphnia09290-RA	653.3	418
EOG090X03G5	Complete	Daphnia00695-RA	345.6	248
EOG090X03GO	Complete	Daphnia11646-RA	932.8	648
EOG090X03H5	Complete	Daphnia10443-RA	387.8	353
EOG090X03I5	Duplicated	Daphnia09873-RA	674.9	435
EOG090X03I5	Duplicated	Daphnia09873-RB	674.9	435
EOG090X03JL	Complete	Daphnia12759-RA	778.5	445
EOG090X03K5	Duplicated	Daphnia10833-RB	472.0	308
EOG090X03K5	Duplicated	Daphnia10833-RC	473.3	309
EOG090X03K5	Duplicated	Daphnia10833-RD	472.9	309
EOG090X03KG	Complete	Daphnia03960-RA	378.0	381
EOG090X03KK	Complete	Daphnia13042-RC	530.5	383
EOG090X03KZ	Complete	Daphnia11018-RA	394.0	479
EOG090X03LH	Complete	Daphnia01153-RA	502.3	304
EOG090X03M6	Complete	Daphnia02892-RA	875.8	459
EOG090X03NS	Complete	Daphnia07551-RA	556.6	408
EOG090X03O4	Complete	Daphnia04972-RA	845.5	421
EOG090X03P9	Complete	Daphnia06494-RA	669.5	509
EOG090X03QA	Duplicated	Daphnia03483-RA	708.2	470
EOG090X03QA	Duplicated	Daphnia03483-RB	708.2	470
EOG090X03QF	Complete	Daphnia02654-RA	386.9	350
EOG090X03QT	Complete	Daphnia02107-RA	836.5	510
EOG090X03QW	Complete	Daphnia02422-RA	630.6	377
EOG090X03R5	Complete	Daphnia08574-RA	860.2	459
EOG090X03RD	Complete	Daphnia07132-RA	705.1	393
EOG090X03RJ	Complete	Daphnia11829-RA	689.3	400
EOG090X03RP	Complete	Daphnia08024-RA	669.9	318
EOG090X03S1	Complete	Daphnia13246-RA	809.3	435
EOG090X03SL	Complete	Daphnia04810-RC	417.1	266
EOG090X03ST	Complete	Daphnia12290-RA	624.4	407
EOG090X03SX	Complete	Daphnia13160-RA	473.8	485
EOG090X03T7	Complete	Daphnia08129-RA	605.9	440
EOG090X03TK	Complete	Daphnia11795-RA	635.4	360
EOG090X03TW	Complete	Daphnia00494-RA	445.0	345
EOG090X03TX	Complete	Daphnia06160-RC	585.6	491
EOG090X03U0	Complete	Daphnia04695-RB	861.5	475
EOG090X03UT	Complete	Daphnia06636-RA	705.3	396
EOG090X03V0	Duplicated	Daphnia08779-RA	723.9	529
EOG090X03V0	Duplicated	Daphnia08779-RF	723.9	529
EOG090X03VW	Complete	Daphnia09248-RA	958.3	461
EOG090X03WO	Complete	Daphnia02081-RA	413.0	260
EOG090X03YC	Complete	Daphnia09017-RA	172.6	183
EOG090X03YJ	Duplicated	Daphnia05460-RB	463.2	344
EOG090X03YJ	Duplicated	Daphnia05460-RC	488.8	343
EOG090X03YR	Duplicated	Daphnia13115-RA	308.0	304
EOG090X03YR	Duplicated	Daphnia13115-RB	359.4	332
EOG090X03ZI	Complete	Daphnia02615-RA	66.9	307
EOG090X0424	Duplicated	Daphnia04162-RA	467.1	335
EOG090X0424	Duplicated	Daphnia04162-RB	428.6	307
EOG090X0431	Complete	Daphnia03107-RA	331.9	242
EOG090X0438	Complete	Daphnia06445-RA	597.9	399
EOG090X0439	Duplicated	Daphnia02076-RA	288.4	287
EOG090X0439	Duplicated	Daphnia02076-RB	288.4	287
EOG090X043F	Complete	Daphnia00438-RA	495.7	400
EOG090X043H	Duplicated	Daphnia07418-RA	539.4	356
EOG090X043H	Duplicated	Daphnia07418-RB	598.0	535
EOG090X043H	Duplicated	Daphnia07418-RD	556.2	381
EOG090X044C	Duplicated	Daphnia10033-RA	620.7	378
EOG090X044C	Duplicated	Daphnia10033-RB	620.7	378
EOG090X044C	Duplicated	Daphnia10033-RC	620.7	378
EOG090X0464	Complete	Daphnia07332-RA	183.0	150
EOG090X047B	Complete	Daphnia07172-RA	520.4	365
EOG090X047D	Complete	Daphnia13008-RA	610.5	524
EOG090X0484	Complete	Daphnia10114-RA	352.3	220
EOG090X0489	Complete	Daphnia12439-RA	812.4	450
EOG090X048D	Duplicated	Daphnia08965-RA	474.1	358
EOG090X048D	Duplicated	Daphnia08965-RB	474.3	358
EOG090X0491	Complete	Daphnia03694-RA	588.0	357
EOG090X049L	Duplicated	Daphnia03089-RA	589.9	582
EOG090X049L	Duplicated	Daphnia03089-RB	606.0	564
EOG090X049M	Duplicated	Daphnia07026-RA	708.2	648
EOG090X049M	Duplicated	Daphnia07026-RB	620.0	602
EOG090X04A7	Complete	Daphnia02093-RA	725.5	430
EOG090X04AR	Complete	Daphnia08732-RA	352.8	203
EOG090X04CK	Complete	Daphnia02732-RA	509.8	403
EOG090X04D9	Complete	Daphnia03715-RA	407.3	500
EOG090X04DJ	Complete	Daphnia00853-RA	419.8	256
EOG090X04DO	Complete	Daphnia06572-RA	751.0	381
EOG090X04EN	Fragmented	Daphnia07833-RB	230.3	211
EOG090X04F1	Complete	Daphnia05049-RA	498.7	573
EOG090X04G3	Complete	Daphnia11537-RA	237.8	219
EOG090X04G6	Complete	Daphnia00758-RA	723.3	400
EOG090X04G7	Complete	Daphnia02543-RA	490.6	437
EOG090X04G9	Complete	Daphnia02473-RA	125.3	194
EOG090X04HR	Complete	Daphnia12480-RA	644.2	368
EOG090X04HX	Complete	Daphnia01681-RA	833.2	482
EOG090X04IO	Complete	Daphnia03632-RA	376.5	576
EOG090X04JL	Complete	Daphnia12435-RA	240.0	204
EOG090X04K8	Complete	Daphnia12449-RC	612.4	396
EOG090X04KD	Complete	Daphnia03717-RA	629.7	396
EOG090X04KW	Complete	Daphnia03186-RA	354.2	296
EOG090X04L0	Complete	Daphnia04998-RA	178.8	256
EOG090X04L5	Complete	Daphnia12947-RA	405.9	267
EOG090X04LA	Complete	Daphnia06630-RA	598.5	417
EOG090X04LH	Complete	Daphnia12791-RA	405.8	347
EOG090X04MD	Duplicated	Daphnia08165-RA	515.8	397
EOG090X04MD	Duplicated	Daphnia08165-RB	515.6	397
EOG090X04NF	Duplicated	Daphnia11454-RA	553.4	446
EOG090X04NF	Duplicated	Daphnia11454-RB	553.4	446
EOG090X04NQ	Complete	Daphnia07008-RA	628.3	341
EOG090X04O4	Complete	Daphnia04379-RB	581.1	487
EOG090X04OZ	Complete	Daphnia04966-RA	738.0	378
EOG090X04PU	Duplicated	Daphnia10347-RA	725.3	373
EOG090X04PU	Duplicated	Daphnia10347-RB	725.3	373
EOG090X04TT	Complete	Daphnia03453-RA	548.5	324
EOG090X04TU	Complete	Daphnia03124-RA	536.6	380
EOG090X04U5	Complete	Daphnia02858-RA	669.9	476
EOG090X04UC	Complete	Daphnia05440-RB	195.0	118
EOG090X04UV	Complete	Daphnia05065-RA	375.8	265
EOG090X04VI	Complete	Daphnia04902-RA	615.1	380
EOG090X04W0	Complete	Daphnia01617-RA	242.9	237
EOG090X04WQ	Complete	Daphnia06720-RA	565.3	522
EOG090X04WU	Complete	Daphnia13125-RA	640.4	398
EOG090X04X8	Complete	Daphnia06122-RA	648.6	392
EOG090X04XE	Complete	Daphnia03348-RA	535.3	360
EOG090X04Y3	Complete	Daphnia08665-RA	620.9	353
EOG090X04YD	Complete	Daphnia04103-RA	441.4	425
EOG090X04Z1	Complete	Daphnia07074-RA	404.7	247
EOG090X04Z9	Complete	Daphnia03245-RA	492.3	403
EOG090X04ZD	Complete	Daphnia13533-RA	385.8	398
EOG090X0508	Complete	Daphnia10382-RA	389.5	320
EOG090X050I	Duplicated	Daphnia04016-RA	208.6	197
EOG090X050I	Duplicated	Daphnia09548-RB	202.4	137
EOG090X050I	Duplicated	Daphnia09548-RC	203.8	136
EOG090X0511	Complete	Daphnia01980-RA	137.3	106
EOG090X0515	Complete	Daphnia03497-RA	451.1	323
EOG090X051L	Duplicated	Daphnia08317-RA	654.4	436
EOG090X051L	Duplicated	Daphnia08317-RB	654.4	436
EOG090X051P	Complete	Daphnia07732-RA	504.4	322
EOG090X054E	Complete	Daphnia10016-RA	319.2	240
EOG090X055U	Complete	Daphnia09900-RA	611.9	344
EOG090X057R	Complete	Daphnia03041-RA	369.0	294
EOG090X058A	Duplicated	Daphnia00028-RA	240.4	196
EOG090X058A	Duplicated	Daphnia00028-RB	240.7	196
EOG090X058P	Complete	Daphnia02124-RA	422.3	239
EOG090X059J	Complete	Daphnia04004-RA	881.2	610
EOG090X05AC	Complete	Daphnia02046-RA	427.4	353
EOG090X05AE	Duplicated	Daphnia04801-RA	532.9	377
EOG090X05AE	Duplicated	Daphnia04801-RB	569.2	401
EOG090X05CB	Duplicated	Daphnia03274-RA	633.8	327
EOG090X05CB	Duplicated	Daphnia03274-RB	633.4	327
EOG090X05CU	Duplicated	Daphnia04648-RA	424.1	302
EOG090X05CU	Duplicated	Daphnia04648-RB	424.1	302
EOG090X05CU	Duplicated	Daphnia04648-RC	423.8	302
EOG090X05CZ	Complete	Daphnia01601-RA	432.3	243
EOG090X05E1	Complete	Daphnia02274-RA	519.5	346
EOG090X05E6	Complete	Daphnia10058-RA	614.7	423
EOG090X05EE	Complete	Daphnia03880-RA	617.9	365
EOG090X05GA	Complete	Daphnia00050-RA	566.8	347
EOG090X05H4	Complete	Daphnia06495-RA	486.1	266
EOG090X05H5	Complete	Daphnia08523-RA	208.9	120
EOG090X05J1	Complete	Daphnia11450-RB	519.3	262
EOG090X05JJ	Complete	Daphnia07485-RA	354.3	332
EOG090X05JX	Complete	Daphnia12699-RA	533.9	364
EOG090X05KU	Complete	Daphnia00495-RA	457.0	246
EOG090X05LM	Complete	Daphnia08936-RA	639.9	325
EOG090X05NC	Complete	Daphnia04591-RA	580.8	342
EOG090X05NI	Duplicated	Daphnia08460-RA	314.7	227
EOG090X05NI	Duplicated	Daphnia08460-RB	315.5	227
EOG090X05NZ	Complete	Daphnia10150-RA	336.3	251
EOG090X05OW	Complete	Daphnia08338-RA	505.7	423
EOG090X05Q1	Complete	Daphnia03736-RA	240.6	258
EOG090X05QS	Complete	Daphnia11662-RA	386.2	301
EOG090X05QT	Complete	Daphnia10832-RA	537.4	345
EOG090X05RK	Complete	Daphnia04196-RA	435.5	285
EOG090X05RM	Complete	Daphnia04715-RA	719.3	648
EOG090X05RX	Complete	Daphnia02625-RA	546.7	306
EOG090X05S8	Duplicated	Daphnia13198-RA	203.3	161
EOG090X05S8	Duplicated	Daphnia13198-RB	203.5	161
EOG090X05SW	Complete	Daphnia05712-RA	454.3	351
EOG090X05T8	Complete	Daphnia05574-RA	605.2	381
EOG090X05UC	Fragmented	Daphnia10779-RA	261.0	200
EOG090X05V1	Complete	Daphnia12789-RA	425.5	316
EOG090X05V9	Complete	Daphnia06187-RA	427.5	327
EOG090X05VA	Complete	Daphnia08228-RA	426.8	319
EOG090X05VD	Complete	Daphnia00203-RA	504.8	379
EOG090X05X4	Complete	Daphnia06165-RA	414.8	306
EOG090X05X9	Complete	Daphnia08664-RA	541.4	384
EOG090X05XL	Complete	Daphnia03371-RA	320.2	403
EOG090X05Z0	Complete	Daphnia08278-RA	554.3	334
EOG090X05ZS	Complete	Daphnia08492-RA	591.3	365
EOG090X060Z	Complete	Daphnia07913-RA	642.5	297
EOG090X0615	Complete	Daphnia07113-RA	412.4	398
EOG090X064W	Complete	Daphnia03082-RA	758.9	542
EOG090X0662	Complete	Daphnia08457-RA	565.9	307
EOG090X0665	Complete	Daphnia03745-RA	616.5	401
EOG090X067V	Duplicated	Daphnia05623-RA	479.5	284
EOG090X067V	Duplicated	Daphnia05623-RB	467.8	284
EOG090X0687	Complete	Daphnia11620-RA	309.8	260
EOG090X0689	Complete	Daphnia13469-RA	393.6	282
EOG090X069C	Missing
EOG090X069M	Complete	Daphnia04452-RA	518.4	347
EOG090X06A5	Complete	Daphnia07600-RA	492.7	312
EOG090X06AF	Complete	Daphnia05626-RA	337.6	251
EOG090X06BA	Complete	Daphnia11764-RA	316.4	272
EOG090X06CC	Duplicated	Daphnia01416-RA	348.1	234
EOG090X06CC	Duplicated	Daphnia01416-RB	348.0	234
EOG090X06E3	Fragmented	Daphnia10677-RA	311.3	220
EOG090X06E6	Complete	Daphnia10942-RA	394.7	350
EOG090X06EY	Complete	Daphnia12443-RA	672.2	418
EOG090X06GA	Complete	Daphnia03658-RC	534.8	301
EOG090X06GX	Fragmented	Daphnia01214-RA	148.8	102
EOG090X06H8	Complete	Daphnia03634-RA	222.0	326
EOG090X06HD	Complete	Daphnia11253-RA	336.6	346
EOG090X06IH	Complete	Daphnia10629-RA	443.4	237
EOG090X06IP	Duplicated	Daphnia08643-RA	196.6	157
EOG090X06IP	Duplicated	Daphnia08643-RB	196.6	157
EOG090X06J2	Complete	Daphnia12984-RA	393.8	235
EOG090X06JG	Duplicated	Daphnia10630-RB	610.3	306
EOG090X06JG	Duplicated	Daphnia10630-RC	610.3	306
EOG090X06JG	Duplicated	Daphnia10630-RE	610.3	306
EOG090X06K5	Duplicated	Daphnia13368-RA	508.0	288
EOG090X06K5	Duplicated	Daphnia13368-RB	506.9	288
EOG090X06K5	Duplicated	Daphnia13368-RC	506.8	288
EOG090X06K9	Complete	Daphnia08882-RA	554.2	333
EOG090X06KU	Complete	Daphnia06688-RA	155.5	132
EOG090X06MA	Complete	Daphnia06795-RA	370.3	265
EOG090X06NC	Complete	Daphnia07252-RA	403.4	317
EOG090X06NK	Complete	Daphnia08256-RA	321.0	254
EOG090X06OK	Complete	Daphnia02407-RA	451.7	326
EOG090X06Q2	Complete	Daphnia03227-RA	342.6	188
EOG090X06Q3	Fragmented	Daphnia06807-RD	196.2	157
EOG090X06RJ	Complete	Daphnia12335-RA	390.4	282
EOG090X06RW	Complete	Daphnia08396-RA	476.7	316
EOG090X06SF	Duplicated	Daphnia12961-RB	221.0	206
EOG090X06SF	Duplicated	Daphnia12961-RC	251.4	302
EOG090X06SH	Complete	Daphnia01418-RA	470.5	292
EOG090X06SP	Complete	Daphnia13200-RA	372.5	360
EOG090X06T3	Complete	Daphnia08544-RA	211.1	211
EOG090X06TI	Complete	Daphnia12091-RA	133.6	225
EOG090X06TJ	Complete	Daphnia09848-RA	496.6	269
EOG090X06TU	Complete	Daphnia13055-RA	453.3	331
EOG090X06UY	Duplicated	Daphnia03624-RB	538.5	316
EOG090X06UY	Duplicated	Daphnia03624-RC	517.1	259
