Sample_ID,MLG_ID,Longitude,Latitude,Species,Continent,Accession,BioProject,BioSample
April29_2018_D8_MomPE2,Daphnia.pulex.Europe.GBR.12,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476624,PRJNA725506,SAMN19088638
April_2017_DBunk_13,Daphnia.pulex.Europe.GBR.120,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476856,PRJNA725506,SAMN19067501
April_2017_DBunk_131,Daphnia.pulex.Europe.GBR.121,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476929,PRJNA725506,SAMN19067502
April_2017_DBunk_132,Daphnia.pulex.Europe.GBR.122,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476971,PRJNA725506,SAMN19067503
April_2017_DBunk_133,Daphnia.pulex.Europe.GBR.123,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476928,PRJNA725506,SAMN19067504
April_2017_DBunk_137,Daphnia.pulex.Europe.GBR.124,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476927,PRJNA725506,SAMN19067505
April_2017_DBunk_139,Daphnia.pulex.Europe.GBR.125,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476898,PRJNA725506,SAMN19067506
April_2017_DBunk_142,Daphnia.pulex.Europe.GBR.126,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476925,PRJNA725506,SAMN19067507
April_2017_DBunk_151,Daphnia.pulex.Europe.GBR.131,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476882,PRJNA725506,SAMN19067512
April_2017_DBunk_152,Daphnia.pulex.Europe.GBR.132,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476854,PRJNA725506,SAMN19067513
April_2017_DBunk_160,Daphnia.pulex.Europe.GBR.135,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476880,PRJNA725506,SAMN19067516
April_2017_DBunk_185,Daphnia.pulex.Europe.GBR.137,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476879,PRJNA725506,SAMN19067518
April_2017_DBunk_19,Daphnia.pulex.Europe.GBR.138,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476845,PRJNA725506,SAMN19067519
April_2017_DBunk_203,Daphnia.pulex.Europe.GBR.139,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476878,PRJNA725506,SAMN19067520
April29_2018_D8_MomPE4,Daphnia.pulex.Europe.GBR.14,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476602,PRJNA725506,SAMN19088640
April_2017_DBunk_21,Daphnia.pulex.Europe.GBR.140,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476844,PRJNA725506,SAMN19067521
April_2017_DBunk_213,Daphnia.pulex.Europe.GBR.141,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476876,PRJNA725506,SAMN19067522
April_2017_DBunk_230,Daphnia.pulex.Europe.GBR.142,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476843,PRJNA725506,SAMN19067524
April_2017_DBunk_232,Daphnia.pulex.Europe.GBR.143,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476842,PRJNA725506,SAMN19067525
April_2017_DBunk_233,Daphnia.pulex.Europe.GBR.144,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476840,PRJNA725506,SAMN19067526
April_2017_DBunk_237,Daphnia.pulex.Europe.GBR.145,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476839,PRJNA725506,SAMN19067527
April_2017_DBunk_253,Daphnia.pulex.Europe.GBR.147,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476826,PRJNA725506,SAMN19067529
Fall_2016_D10_46,Daphnia.pulex.Europe.GBR.1474,-2.206421,50.709379,Daphnia pulex,Europe,SRR14476812,PRJNA725506,SAMN19067576
Spring_2016_D10_10.5,Daphnia.pulex.Europe.GBR.1476,-2.206421,50.709379,Daphnia pulex,Europe,SRR14476952,PRJNA725506,SAMN19067655
Spring_2016_D8_8.1,Daphnia.pulex.Europe.GBR.1478,-2.091652,50.64256,Daphnia pulex,Europe,-,-,-
Spring_2016_D8_8.10,Daphnia.pulex.Europe.GBR.1479,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476756,PRJNA725506,SAMN19067657
April_2017_DBunk_254,Daphnia.pulex.Europe.GBR.148,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476811,PRJNA725506,SAMN19067530
Spring_2016_D8_8.12,Daphnia.pulex.Europe.GBR.1480,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476758,PRJNA725506,SAMN19067658
Spring_2016_D8_8.20,Daphnia.pulex.Europe.GBR.1482,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476752,PRJNA725506,SAMN19067663
Spring_2016_D8_8.2,Daphnia.pulex.Europe.GBR.1485,-2.091652,50.64256,Daphnia pulex,Europe,-,-,-
Spring_2016_D8_8.21,Daphnia.pulex.Europe.GBR.1487,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476950,PRJNA725506,SAMN19067664
Spring_2016_D8_8.23,Daphnia.pulex.Europe.GBR.1488,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476751,PRJNA725506,SAMN19067665
Spring_2016_D8_8.24,Daphnia.pulex.Europe.GBR.1489,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476868,PRJNA725506,SAMN19067666
Spring_2016_D8_8.25,Daphnia.pulex.Europe.GBR.1490,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476900,PRJNA725506,SAMN19067667
Spring_2016_D8_8.26,Daphnia.pulex.Europe.GBR.1491,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476899,PRJNA725506,SAMN19067668
Spring_2016_D8_8.3,Daphnia.pulex.Europe.GBR.1494,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476949,PRJNA725506,SAMN19067671
Spring_2016_D8_8.31,Daphnia.pulex.Europe.GBR.1495,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476874,PRJNA725506,SAMN19067672
Spring_2016_D8_8.32,Daphnia.pulex.Europe.GBR.1496,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476947,PRJNA725506,SAMN19067673
Spring_2016_D8_8.35,Daphnia.pulex.Europe.GBR.1497,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476946,PRJNA725506,SAMN19067674
Spring_2016_D8_8.8,Daphnia.pulex.Europe.GBR.1499,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476872,PRJNA725506,SAMN19067676
April29_2018_D8_MomPE5,Daphnia.pulex.Europe.GBR.15,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476592,PRJNA725506,SAMN19088641
April_2017_DBunk_263,Daphnia.pulex.Europe.GBR.150,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476810,PRJNA725506,SAMN19067532
Spring_2016_W1_1.1,Daphnia.pulex.Europe.GBR.1501,-3.008025,53.295635,Daphnia pulex,Europe,SRR14476871,PRJNA725506,SAMN19067678
Spring_2016_W6_6.1,Daphnia.pulex.Europe.GBR.1502,-3.021544,53.291984,Daphnia pulex,Europe,SRR14476870,PRJNA725506,SAMN19067679
April_2017_DBunk_266,Daphnia.pulex.Europe.GBR.151,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476809,PRJNA725506,SAMN19067533
Spring_2017_D8_336,Daphnia.pulex.Europe.GBR.1513,-2.091652,50.64256,Daphnia pulex,Europe,SRR14477015,PRJNA725506,SAMN19067690
April_2017_DBunk_248,Daphnia.pulex.Europe.GBR.152,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476838,PRJNA725506,SAMN19067528
Spring_2017_DBunk_113,Daphnia.pulex.Europe.GBR.1523,-2.09237,50.64259,Daphnia pulex,Europe,SRR14477005,PRJNA725506,SAMN19067700
Spring_2017_DBunk_122,Daphnia.pulex.Europe.GBR.1526,-2.09237,50.64259,Daphnia pulex,Europe,SRR14477001,PRJNA725506,SAMN19067702
Spring_2017_DBunk_125,Daphnia.pulex.Europe.GBR.1527,-2.09237,50.64259,Daphnia pulex,Europe,SRR14477002,PRJNA725506,SAMN19067703
Spring_2017_DBunk_143,Daphnia.pulex.Europe.GBR.1528,-2.09237,50.64259,Daphnia pulex,Europe,SRR14477000,PRJNA725506,SAMN19067704
April_2017_DBunk_27,Daphnia.pulex.Europe.GBR.153,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476808,PRJNA725506,SAMN19067535
Spring_2017_DBunk_198,Daphnia.pulex.Europe.GBR.1530,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476998,PRJNA725506,SAMN19067706
Spring_2017_DBunk_209,Daphnia.pulex.Europe.GBR.1531,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476996,PRJNA725506,SAMN19067707
Spring_2017_DBunk_217,Daphnia.pulex.Europe.GBR.1533,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476995,PRJNA725506,SAMN19067709
Spring_2017_DBunk_222,Daphnia.pulex.Europe.GBR.1534,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476994,PRJNA725506,SAMN19067710
Spring_2017_DBunk_242,Daphnia.pulex.Europe.GBR.1536,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476991,PRJNA725506,SAMN19067712
Spring_2017_DBunk_252,Daphnia.pulex.Europe.GBR.1537,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476989,PRJNA725506,SAMN19067713
Spring_2017_DBunk_260,Daphnia.pulex.Europe.GBR.1538,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476990,PRJNA725506,SAMN19067714
Spring_2017_DBunk_110,Daphnia.pulex.Europe.GBR.154,-2.09237,50.64259,Daphnia pulex,Europe,SRR14477006,PRJNA725506,SAMN19067699
Spring_2017_DBunk_315,Daphnia.pulex.Europe.GBR.1543,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476985,PRJNA725506,SAMN19067719
Spring_2017_DBunk_317,Daphnia.pulex.Europe.GBR.1544,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476983,PRJNA725506,SAMN19067720
Spring_2017_DBunk_321,Daphnia.pulex.Europe.GBR.1546,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476980,PRJNA725506,SAMN19067722
Spring_2017_DBunk_338,Daphnia.pulex.Europe.GBR.1549,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476977,PRJNA725506,SAMN19067724
April_2017_DBunk_297,Daphnia.pulex.Europe.GBR.155,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476824,PRJNA725506,SAMN19067537
Spring_2017_DBunk_101,Daphnia.pulex.Europe.GBR.1551,-2.09237,50.64259,Daphnia pulex,Europe,SRR14477009,PRJNA725506,SAMN19067697
Spring_2017_DBunk_353,Daphnia.pulex.Europe.GBR.1552,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476975,PRJNA725506,SAMN19067727
Spring_2017_DBunk_360,Daphnia.pulex.Europe.GBR.1554,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476972,PRJNA725506,SAMN19067729
Spring_2017_DBunk_367,Daphnia.pulex.Europe.GBR.1556,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476969,PRJNA725506,SAMN19067731
Spring_2017_DBunk_373,Daphnia.pulex.Europe.GBR.1557,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476968,PRJNA725506,SAMN19067732
Spring_2017_DBunk_378,Daphnia.pulex.Europe.GBR.1558,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476967,PRJNA725506,SAMN19067733
April_2017_DBunk_3,Daphnia.pulex.Europe.GBR.156,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476807,PRJNA725506,SAMN19067538
Spring_2017_DBunk_387,Daphnia.pulex.Europe.GBR.1560,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476966,PRJNA725506,SAMN19067735
Spring_2017_DBunk_363,Daphnia.pulex.Europe.GBR.1566,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476973,PRJNA725506,SAMN19067730
April_2017_DBunk_302,Daphnia.pulex.Europe.GBR.157,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476806,PRJNA725506,SAMN19067539
April_2017_DBunk_6,Daphnia.pulex.Europe.GBR.158,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476904,PRJNA725506,SAMN19067547
April_2017_DBunk_36,Daphnia.pulex.Europe.GBR.159,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476804,PRJNA725506,SAMN19067541
April29_2018_DBunk_Male1,Daphnia.pulex.Europe.GBR.16,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476589,PRJNA725506,SAMN19088642
April_2017_DBunk_45,Daphnia.pulex.Europe.GBR.161,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476852,PRJNA725506,SAMN19067543
April_2017_DBunk_5,Daphnia.pulex.Europe.GBR.162,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476851,PRJNA725506,SAMN19067544
April_2017_DBunk_50,Daphnia.pulex.Europe.GBR.163,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476850,PRJNA725506,SAMN19067545
April_2017_DBunk_52,Daphnia.pulex.Europe.GBR.164,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476849,PRJNA725506,SAMN19067546
April_2017_DBunk_63,Daphnia.pulex.Europe.GBR.166,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476848,PRJNA725506,SAMN19067548
April_2017_DBunk_71,Daphnia.pulex.Europe.GBR.169,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476847,PRJNA725506,SAMN19067551
April_2017_DBunk_76,Daphnia.pulex.Europe.GBR.170,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476846,PRJNA725506,SAMN19067552
April_2017_DBunk_9,Daphnia.pulex.Europe.GBR.171,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476837,PRJNA725506,SAMN19067553
April_2017_DBunk_91,Daphnia.pulex.Europe.GBR.173,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476914,PRJNA725506,SAMN19067555
Spring_2017_DBunk_399,Daphnia.pulex.Europe.GBR.174,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476964,PRJNA725506,SAMN19067736
April_2017_DCat_10,Daphnia.pulex.Europe.GBR.175,-2.09121,50.64245,Daphnia pulex,Europe,SRR14476912,PRJNA725506,SAMN19067557
April_2017_DCat_4,Daphnia.pulex.Europe.GBR.178,-2.09121,50.64245,Daphnia pulex,Europe,SRR14476909,PRJNA725506,SAMN19067560
April_2017_DCat_5,Daphnia.pulex.Europe.GBR.179,-2.09121,50.64245,Daphnia pulex,Europe,SRR14476908,PRJNA725506,SAMN19067561
April29_2018_DBunk_Male3,Daphnia.pulex.Europe.GBR.18,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476676,PRJNA725506,SAMN19088644
