Sample,mlg.country,id,pondID,year,long,lat,SC,Nonindependent,WildSequenced,Sex,Species,AxCF1Hybrid,LabGenerated,BioProject,Continent,Origin,Library.Name,Sample.Name,Isolate,geo_loc_name_country,geo_loc_name_country_continent,cloneID,dna.seq,Country,isolate.name,Reproduction,Monoisolate,PoolSeq,IndividualSeq,Sexual.phenotype,cont,country,mean.depth,mean.miss
March20_2018_DBunk_40,Daphnia.obtusa.Europe.GBR.359,March20_2018_DBunk_40,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,19.9625,0.0619654
March20_2018_DBunk_41,Daphnia.obtusa.Europe.GBR.360,March20_2018_DBunk_41,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,14.7018,0.0600522
March20_2018_DBunk_43,Daphnia.obtusa.Europe.GBR.362,March20_2018_DBunk_43,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,18.8843,0.061423
SRR5012393,Daphnia.obtusa.NorthAmerica.USA.568,SAMN05980085,,NA,-87.7366,40.1224,,NA,NA,,Daphnia obtusa,NA,NA,PRJNA351263,NorthAmerica,SRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Y,,Daphnia.obtusa.NorthAmerica,Daphnia.obtusa.NorthAmerica.USA,8.17225,0.105985
SRR5012394,Daphnia.obtusa.NorthAmerica.USA.569,SAMN05980085,,NA,-87.7366,40.1224,,NA,NA,,Daphnia obtusa,NA,NA,PRJNA351263,NorthAmerica,SRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Y,,Daphnia.obtusa.NorthAmerica,Daphnia.obtusa.NorthAmerica.USA,8.11477,0.145227
SRR5012771,Daphnia.obtusa.NorthAmerica.USA.570,SAMN05980085,,NA,-87.7366,40.1224,,NA,NA,,Daphnia obtusa,NA,NA,PRJNA351263,NorthAmerica,SRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Y,,Daphnia.obtusa.NorthAmerica,Daphnia.obtusa.NorthAmerica.USA,6.98916,0.129163
SRR5012396,Daphnia.obtusa.NorthAmerica.USA.571,SAMN05980085,,NA,-87.7366,40.1224,,NA,NA,,Daphnia obtusa,NA,NA,PRJNA351263,NorthAmerica,SRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Y,,Daphnia.obtusa.NorthAmerica,Daphnia.obtusa.NorthAmerica.USA,8.31186,0.141672
SRR5012770,Daphnia.obtusa.NorthAmerica.USA.572,SAMN05980085,,NA,-87.7366,40.1224,,NA,NA,,Daphnia obtusa,NA,NA,PRJNA351263,NorthAmerica,SRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Y,,Daphnia.obtusa.NorthAmerica,Daphnia.obtusa.NorthAmerica.USA,4.10098,0.218597
SRR5012773,Daphnia.obtusa.NorthAmerica.USA.575,SAMN05980085,,NA,-87.7366,40.1224,,NA,NA,,Daphnia obtusa,NA,NA,PRJNA351263,NorthAmerica,SRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Y,,Daphnia.obtusa.NorthAmerica,Daphnia.obtusa.NorthAmerica.USA,4.2639,0.212307
SRR10160681,Daphnia.pulex.Europe.CZE.435,SAMN12816625,,NA,14.01,50.03,,NA,NA,,Daphnia pulex,NA,NA,PRJNA573529,Europe,SRA,BEL-00056,BEL-00056,BEL-00056,,,NA,Y,Czech Republic,BEL,NA,Y,NA,,,Daphnia.pulex.Europe,Daphnia.pulex.Europe.CZE,12.7874,0.00159995
April17_2018_D8_Male5,Daphnia.pulex.Europe.GBR.10,April17_2018_D8_Male5,D8,2018,-2.091652,50.64256,Q,0,1,male,Daphnia pulex,1,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,2.96127,0.0812074
April_2017_D8_60,Daphnia.pulex.Europe.GBR.104,April_2017_D8_60,D8,2017,-2.091652,50.64256,A,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,6.21528,0.00928978
April29_2018_D8_MomPE1,Daphnia.pulex.Europe.GBR.11,April29_2018_D8_MomPE1,D8,2018,-2.091652,50.64256,OO,0,1,female,Daphnia pulex,1,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,5.61408,0.0207963
April_2017_DBunk_103,Daphnia.pulex.Europe.GBR.111,April_2017_DBunk_103,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,14.4698,0.00198736
April_2017_DBunk_111,Daphnia.pulex.Europe.GBR.114,April_2017_DBunk_111,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,18.8281,0.000834524
April_2017_DBunk_121,Daphnia.pulex.Europe.GBR.117,April_2017_DBunk_121,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,12.3694,0.00553576
April_2017_DBunk_128,Daphnia.pulex.Europe.GBR.118,April_2017_DBunk_128,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,16.2629,0.00179382
April_2017_DBunk_129,Daphnia.pulex.Europe.GBR.119,April_2017_DBunk_129,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,31.9797,0.000498769
April29_2018_D8_MomPE2,Daphnia.pulex.Europe.GBR.12,April29_2018_D8_MomPE2,D8,2018,-2.091652,50.64256,AB,0,1,female,Daphnia pulex,1,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,9.78928,0.00468715
April_2017_DBunk_13,Daphnia.pulex.Europe.GBR.120,April_2017_DBunk_13,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,4.5918,0.0333739
April_2017_DBunk_131,Daphnia.pulex.Europe.GBR.121,April_2017_DBunk_131,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,17.5267,0.000870414
April_2017_DBunk_132,Daphnia.pulex.Europe.GBR.122,April_2017_DBunk_132,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,27.3953,0.000925758
April_2017_DBunk_133,Daphnia.pulex.Europe.GBR.123,April_2017_DBunk_133,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,9.15741,0.00496958
April_2017_DBunk_137,Daphnia.pulex.Europe.GBR.124,April_2017_DBunk_137,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,22.7417,0.000571555
April_2017_DBunk_139,Daphnia.pulex.Europe.GBR.125,April_2017_DBunk_139,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,31.186,0.000557132
April_2017_DBunk_142,Daphnia.pulex.Europe.GBR.126,April_2017_DBunk_142,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,18.7313,0.00119376
April_2017_DBunk_151,Daphnia.pulex.Europe.GBR.131,April_2017_DBunk_151,DBunk,2017,-2.09237,50.64259,L,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,8.73647,0.00300368
April_2017_DBunk_152,Daphnia.pulex.Europe.GBR.132,April_2017_DBunk_152,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,28.6599,0.000663795
April_2017_DBunk_160,Daphnia.pulex.Europe.GBR.135,April_2017_DBunk_160,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,10.291,0.00224429
April_2017_DBunk_185,Daphnia.pulex.Europe.GBR.137,April_2017_DBunk_185,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,10.2011,0.002412
April_2017_DBunk_19,Daphnia.pulex.Europe.GBR.138,April_2017_DBunk_19,DBunk,2017,-2.09237,50.64259,F,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,7.32129,0.00696465
April_2017_DBunk_203,Daphnia.pulex.Europe.GBR.139,April_2017_DBunk_203,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,8.92757,0.00250391
April29_2018_D8_MomPE4,Daphnia.pulex.Europe.GBR.14,April29_2018_D8_MomPE4,D8,2018,-2.091652,50.64256,OO,0,1,female,Daphnia pulex,1,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,10.1768,0.00516345
April_2017_DBunk_21,Daphnia.pulex.Europe.GBR.140,April_2017_DBunk_21,DBunk,2017,-2.09237,50.64259,Y,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,7.14575,0.0280327
April_2017_DBunk_213,Daphnia.pulex.Europe.GBR.141,April_2017_DBunk_213,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,13.8767,0.0014366
April_2017_DBunk_230,Daphnia.pulex.Europe.GBR.142,April_2017_DBunk_230,DBunk,2017,-2.09237,50.64259,F,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,3.89649,0.0508355
April_2017_DBunk_232,Daphnia.pulex.Europe.GBR.143,April_2017_DBunk_232,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,5.31489,0.0170628
April_2017_DBunk_233,Daphnia.pulex.Europe.GBR.144,April_2017_DBunk_233,DBunk,2017,-2.09237,50.64259,Y,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,6.58803,0.00963023
April_2017_DBunk_237,Daphnia.pulex.Europe.GBR.145,April_2017_DBunk_237,DBunk,2017,-2.09237,50.64259,F,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,7.32772,0.00515238
April_2017_DBunk_253,Daphnia.pulex.Europe.GBR.147,April_2017_DBunk_253,DBunk,2017,-2.09237,50.64259,L,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,7.92994,0.00466401
Fall_2016_D10_46,Daphnia.pulex.Europe.GBR.1474,Fall_2016_D10_46,D10,2016,-2.206421,50.709379,D,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,15.0385,0.00225301
Spring_2016_D10_10.5,Daphnia.pulex.Europe.GBR.1476,Spring_2016_D10_10.5,D10,2016,-2.206421,50.709379,D,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,11.1735,0.0054244
Spring_2016_D8_8.1,Daphnia.pulex.Europe.GBR.1478,Spring_2016_D8_8.1,D8,2016,-2.091652,50.64256,H,1,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,4.26238,0.0323344
Spring_2016_D8_8.10,Daphnia.pulex.Europe.GBR.1479,Spring_2016_D8_8.10,D8,2016,-2.091652,50.64256,H,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,8.99139,0.00467642
April_2017_DBunk_254,Daphnia.pulex.Europe.GBR.148,April_2017_DBunk_254,DBunk,2017,-2.09237,50.64259,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,6.95988,0.00844553
Spring_2016_D8_8.12,Daphnia.pulex.Europe.GBR.1480,Spring_2016_D8_8.12,D8,2016,-2.091652,50.64256,H,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,21.8023,0.000519229
Spring_2016_D8_8.20,Daphnia.pulex.Europe.GBR.1482,Spring_2016_D8_8.20,D8,2016,-2.091652,50.64256,W,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,13.2184,0.00129237
Spring_2016_D8_8.2,Daphnia.pulex.Europe.GBR.1485,Spring_2016_D8_8.2,D8,2016,-2.091652,50.64256,W,1,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,6.4077,0.00954973
Spring_2016_D8_8.21,Daphnia.pulex.Europe.GBR.1487,Spring_2016_D8_8.21,D8,2016,-2.091652,50.64256,H,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,11.7169,0.0047918
Spring_2016_D8_8.23,Daphnia.pulex.Europe.GBR.1488,Spring_2016_D8_8.23,D8,2016,-2.091652,50.64256,poC,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,24.0354,0.000453487
Spring_2016_D8_8.24,Daphnia.pulex.Europe.GBR.1489,Spring_2016_D8_8.24,D8,2016,-2.091652,50.64256,poH,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,23.3782,0.000507154
Spring_2016_D8_8.25,Daphnia.pulex.Europe.GBR.1490,Spring_2016_D8_8.25,D8,2016,-2.091652,50.64256,A,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,6.80248,0.00908316
Spring_2016_D8_8.26,Daphnia.pulex.Europe.GBR.1491,Spring_2016_D8_8.26,D8,2016,-2.091652,50.64256,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,20.8411,0.000835865
Spring_2016_D8_8.3,Daphnia.pulex.Europe.GBR.1494,Spring_2016_D8_8.3,D8,2016,-2.091652,50.64256,H,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,12.841,0.00265216
Spring_2016_D8_8.31,Daphnia.pulex.Europe.GBR.1495,Spring_2016_D8_8.31,D8,2016,-2.091652,50.64256,poW,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,25.8782,0.000425312
Spring_2016_D8_8.32,Daphnia.pulex.Europe.GBR.1496,Spring_2016_D8_8.32,D8,2016,-2.091652,50.64256,H,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,14.5258,0.00163785
Spring_2016_D8_8.35,Daphnia.pulex.Europe.GBR.1497,Spring_2016_D8_8.35,D8,2016,-2.091652,50.64256,H,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,17.0234,0.0016241
Spring_2016_D8_8.8,Daphnia.pulex.Europe.GBR.1499,Spring_2016_D8_8.8,D8,2016,-2.091652,50.64256,H,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,18.4422,0.000983115
April29_2018_D8_MomPE5,Daphnia.pulex.Europe.GBR.15,April29_2018_D8_MomPE5,D8,2018,-2.091652,50.64256,U,0,1,female,Daphnia pulex,1,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,9.05259,0.00654068
April_2017_DBunk_263,Daphnia.pulex.Europe.GBR.150,April_2017_DBunk_263,DBunk,2017,-2.09237,50.64259,F,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,3.81358,0.0401715
Spring_2016_W1_1.1,Daphnia.pulex.Europe.GBR.1501,Spring_2016_W1_1.1,W1,2016,-3.008025,53.295635,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,28.6501,0.000580276
Spring_2016_W6_6.1,Daphnia.pulex.Europe.GBR.1502,Spring_2016_W6_6.1,W6,2016,-3.021544,53.291984,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,8.56431,0.00509636
April_2017_DBunk_266,Daphnia.pulex.Europe.GBR.151,April_2017_DBunk_266,DBunk,2017,-2.09237,50.64259,M,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,7.30449,0.00666479
Spring_2017_D8_336,Daphnia.pulex.Europe.GBR.1513,Spring_2017_D8_336,D8,2017,-2.091652,50.64256,OO,0,0,female,Daphnia pulex,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,Daphnia.pulex.Europe,Daphnia.pulex.Europe.GBR,20.6879,0.00130579
