Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Tissue
SRR14426890,WGS,302,4628919496,PRJNA725506,SAMN19021183,Invertebrate,1626544971,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX10778140,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, D8 pond",Illumina NovaSeq 6000,March20_2018_D8_15,Single female with parthenogenic embryos sampled from D8 pond fixed in ethanol in the field,March20_2018_D8_15,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:12:00Z,1,March20_2018_D8_15,SRP316581,Single entire female with parthenogenic embryos
SRR14426891,WGS,302,6112869580,PRJNA725506,SAMN19021254,Invertebrate,2094389567,UNIVERSITY OF VIRGINIA,2018-03-20,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX10778139,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_4,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_4,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:31:00Z,1,March20_2018_DBunk_4,SRP316581,Single entire female with parthenogenic embryos
SRR14426892,WGS,302,5581910394,PRJNA725506,SAMN19021253,Invertebrate,1904009051,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX10778138,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_36,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_36,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:08:00Z,1,March20_2018_DBunk_36,SRP316581,Single entire female with parthenogenic embryos
SRR14426893,WGS,302,6023696832,PRJNA725506,SAMN19021252,Invertebrate,2049463149,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX10778137,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_35,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_35,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:11:00Z,1,March20_2018_DBunk_35,SRP316581,Single entire female with parthenogenic embryos
SRR14426894,WGS,302,6362196250,PRJNA725506,SAMN19021251,Invertebrate,2178562565,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX10778136,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_34,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_34,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:12:00Z,1,March20_2018_DBunk_34,SRP316581,Single entire female with parthenogenic embryos
SRR14426895,WGS,302,2340770290,PRJNA725506,SAMN19021250,Invertebrate,812742016,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX10778135,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_33,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_33,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:03:00Z,1,March20_2018_DBunk_33,SRP316581,Single entire female with parthenogenic embryos
SRR14426896,WGS,302,7752544152,PRJNA725506,SAMN19021249,Invertebrate,2634044963,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX10778134,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_32,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_32,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:18:00Z,1,March20_2018_DBunk_32,SRP316581,Single entire female with parthenogenic embryos
SRR14426897,WGS,302,5802087722,PRJNA725506,SAMN19021248,Invertebrate,1977633045,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX10778133,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_31,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_31,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:12:00Z,1,March20_2018_DBunk_31,SRP316581,Single entire female with parthenogenic embryos
SRR14426898,WGS,302,10787061896,PRJNA725506,SAMN19021247,Invertebrate,3650747374,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX10778132,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_30,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_30,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:26:00Z,1,March20_2018_DBunk_30,SRP316581,Single entire female with parthenogenic embryos
SRR14426899,WGS,302,8962310852,PRJNA725506,SAMN19021246,Invertebrate,3062040206,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX10778131,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_3,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_3,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:19:00Z,1,March20_2018_DBunk_3,SRP316581,Single entire female with parthenogenic embryos
SRR14426900,WGS,302,10325566032,PRJNA725506,SAMN19021245,Invertebrate,3594760777,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX10778130,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_29,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_29,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:27:00Z,1,March20_2018_DBunk_29,SRP316581,Single entire female with parthenogenic embryos
SRR14426901,WGS,302,5989152260,PRJNA725506,SAMN19021182,Invertebrate,2045635651,UNIVERSITY OF VIRGINIA,2018-03-20,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX10778129,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, D8 pond",Illumina NovaSeq 6000,March20_2018_D8_14,Single female with parthenogenic embryos sampled from D8 pond fixed in ethanol in the field,March20_2018_D8_14,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:10:00Z,1,March20_2018_D8_14,SRP316581,Single entire female with parthenogenic embryos
SRR14426902,WGS,302,6301616258,PRJNA725506,SAMN19021244,Invertebrate,2159327968,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX10778128,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_28,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_28,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:56:00Z,1,March20_2018_DBunk_28,SRP316581,Single entire female with parthenogenic embryos
SRR14426903,WGS,302,8291694182,PRJNA725506,SAMN19021243,Invertebrate,2809116138,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX10778127,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_27,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_27,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:17:00Z,1,March20_2018_DBunk_27,SRP316581,Single entire female with parthenogenic embryos
SRR14426904,WGS,302,6054596868,PRJNA725506,SAMN19021242,Invertebrate,2075167946,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10778126,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_25,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_25,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:12:00Z,1,March20_2018_DBunk_25,SRP316581,Single entire female with parthenogenic embryos
SRR14426905,WGS,302,16150028330,PRJNA725506,SAMN19021241,Invertebrate,5486454504,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10778125,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_24,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_24,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:47:00Z,1,March20_2018_DBunk_24,SRP316581,Single entire female with parthenogenic embryos
SRR14426906,WGS,302,4248722636,PRJNA725506,SAMN19021240,Invertebrate,1461012681,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX10778124,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_20,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_20,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:11:00Z,1,March20_2018_DBunk_20,SRP316581,Single entire female with parthenogenic embryos
SRR14426907,WGS,302,6272554194,PRJNA725506,SAMN19021239,Invertebrate,2165839276,UNIVERSITY OF VIRGINIA,2018-03-20,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX10778123,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_2,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:08:00Z,1,March20_2018_DBunk_2,SRP316581,Single entire female with parthenogenic embryos
SRR14426908,WGS,302,9086361882,PRJNA725506,SAMN19021238,Invertebrate,3108952277,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX10778122,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_19,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_19,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:32:00Z,1,March20_2018_DBunk_19,SRP316581,Single entire female with parthenogenic embryos
SRR14426909,WGS,302,5153664126,PRJNA725506,SAMN19021236,Invertebrate,1802835731,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX10778121,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_17,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_17,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:14:00Z,1,March20_2018_DBunk_17,SRP316581,Single entire female with parthenogenic embryos
SRR14426910,WGS,302,5018751666,PRJNA725506,SAMN19021235,Invertebrate,1721620282,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX10778120,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_16,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_16,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:14:00Z,1,March20_2018_DBunk_16,SRP316581,Single entire female with parthenogenic embryos
SRR14426911,WGS,302,9879688400,PRJNA725506,SAMN19021234,Invertebrate,3349153523,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX10778119,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_15,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_15,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:24:00Z,1,March20_2018_DBunk_15,SRP316581,Single entire female with parthenogenic embryos
SRR14426912,WGS,302,7974378252,PRJNA725506,SAMN19021181,Invertebrate,2700876145,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX10778118,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, D8 pond",Illumina NovaSeq 6000,March20_2018_D8_13,Single female with parthenogenic embryos sampled from D8 pond fixed in ethanol in the field,March20_2018_D8_13,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:17:00Z,1,March20_2018_D8_13,SRP316581,Single entire female with parthenogenic embryos
SRR14426913,WGS,302,13312559546,PRJNA725506,SAMN19021233,Invertebrate,4481936624,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX10778117,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_14,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_14,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:35:00Z,1,March20_2018_DBunk_14,SRP316581,Single entire female with parthenogenic embryos
SRR14426914,WGS,302,7954940928,PRJNA725506,SAMN19021232,Invertebrate,2763110080,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX10778116,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_13,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_13,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:20:00Z,1,March20_2018_DBunk_13,SRP316581,Single entire female with parthenogenic embryos
SRR14426915,WGS,302,3979850526,PRJNA725506,SAMN19021231,Invertebrate,1483539467,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX10778115,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_12,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_12,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:07:00Z,1,March20_2018_DBunk_12,SRP316581,Single entire female with parthenogenic embryos
SRR14426916,WGS,302,7438688840,PRJNA725506,SAMN19021230,Invertebrate,2560384983,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX10778114,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_11,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_11,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:16:00Z,1,March20_2018_DBunk_11,SRP316581,Single entire female with parthenogenic embryos
SRR14426917,WGS,302,2570501388,PRJNA725506,SAMN19021229,Invertebrate,897727296,UNIVERSITY OF VIRGINIA,2018-03-20,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX10778113,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_1,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_1,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:05:00Z,1,March20_2018_DBunk_1,SRP316581,Single entire female with parthenogenic embryos
SRR14426918,WGS,302,6370952740,PRJNA725506,SAMN19021225,Invertebrate,2203656111,UNIVERSITY OF VIRGINIA,2018-03-20,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX10778112,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, D8 pond",Illumina NovaSeq 6000,March20_2018_D8_9,Single female with parthenogenic embryos sampled from D8 pond fixed in ethanol in the field,March20_2018_D8_9,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:11:00Z,1,March20_2018_D8_9,SRP316581,Single entire female with parthenogenic embryos
