accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR24967764	SRP444808	new	PRJNA982532	SAMN35708916	Spring_2018_Pond6_5	Pond6_5	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_239_SL378946.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_239_SL378946.fastq.gz						
SRR24967763	SRP444808	new	PRJNA982532	SAMN35708917	Spring_2018_Pond6_21	Pond6_21	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_436_SL378947.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_436_SL378947.fastq.gz						
SRR24967762	SRP444808	new	PRJNA982532	SAMN35708918	Spring_2018_Pond17_10	Pond17_10	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_438_SL378948.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_438_SL378948.fastq.gz						
SRR24967760	SRP444808	new	PRJNA982532	SAMN35708919	Spring_2018_Pond24_1	Pond24_1	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_509_SL378950.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_509_SL378950.fastq.gz						
SRR24967759	SRP444808	new	PRJNA982532	SAMN35708920	Spring_2018_Pond24_7	Pond24_7	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_685_SL378951.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_685_SL378951.fastq.gz						
SRR24967758	SRP444808	new	PRJNA982532	SAMN35708921	Spring_2018_Pond24_8	Pond24_8	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_700_SL378952.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_700_SL378952.fastq.gz						
SRR24967757	SRP444808	new	PRJNA982532	SAMN35708922	Spring_2018_Pond17_65	Pond17_65	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_71_SL378944.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_71_SL378944.fastq.gz						
SRR24967756	SRP444808	new	PRJNA982532	SAMN35708923	Spring_2018_Pond27_51	Pond27_51	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_184_SL378938.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_184_SL378938.fastq.gz						
SRR24967755	SRP444808	new	PRJNA982532	SAMN35708924	Spring_2018_Pond6_6	Pond6_6	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_239_SL378949.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_239_SL378949.fastq.gz						
SRR24967754	SRP444808	new	PRJNA982532	SAMN35708925	Spring_2018_Pond6_22	Pond6_22	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_436_SL378960.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_436_SL378960.fastq.gz						
SRR24967753	SRP444808	new	PRJNA982532	SAMN35708926	Spring_2018_Pond17_11	Pond17_11	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_438_SL378971.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_438_SL378971.fastq.gz						
SRR24967752	SRP444808	new	PRJNA982532	SAMN35708927	Spring_2018_Pond30_25	Pond30_25	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_509_SL378982.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_509_SL378982.fastq.gz						
SRR24967751	SRP444808	new	PRJNA982532	SAMN35708928	Spring_2018_Pond30_53	Pond30_53	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_685_SL378993.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_685_SL378993.fastq.gz						
SRR24967749	SRP444808	new	PRJNA982532	SAMN35708929	Spring_2018_Pond24_19	Pond24_19	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_700_SL379004.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_700_SL379004.fastq.gz						
SRR24967748	SRP444808	new	PRJNA982532	SAMN35708930	Spring_2018_Pond17_69	Pond17_69	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_2-index_8nt_N5_71_SL378834.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_2-index_8nt_N5_71_SL378834.fastq.gz						
SRR24967747	SRP444808	new	PRJNA982532	SAMN35708931	Spring_2018_Pond20_20	Pond20_20	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_184_SL378954.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_184_SL378954.fastq.gz						
SRR24967746	SRP444808	new	PRJNA982532	SAMN35708932	Spring_2018_Pond27_58	Pond27_58	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_239_SL378955.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_239_SL378955.fastq.gz						
SRR24967745	SRP444808	new	PRJNA982532	SAMN35708933	Spring_2018_Pond6_9	Pond6_9	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_436_SL378956.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_436_SL378956.fastq.gz						
SRR24967744	SRP444808	new	PRJNA982532	SAMN35708934	Spring_2018_Pond6_23	Pond6_23	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_438_SL378957.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_438_SL378957.fastq.gz						
SRR24967743	SRP444808	new	PRJNA982532	SAMN35708935	Spring_2018_Pond17_12	Pond17_12	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_509_SL378958.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_509_SL378958.fastq.gz						
SRR24967742	SRP444808	new	PRJNA982532	SAMN35708936	Spring_2018_Pond17_16	Pond17_16	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_685_SL378959.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_685_SL378959.fastq.gz						
SRR24967741	SRP444808	new	PRJNA982532	SAMN35708937	Spring_2018_Pond22_57	Pond22_57	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_700_SL378961.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_700_SL378961.fastq.gz						
SRR24967740	SRP444808	new	PRJNA982532	SAMN35708938	Spring_2018_Pond24_20	Pond24_20	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_303-index_8nt_N5_71_SL378953.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_303-index_8nt_N5_71_SL378953.fastq.gz						
SRR24967738	SRP444808	new	PRJNA982532	SAMN35708939	Spring_2018_Pond17_70	Pond17_70	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_184_SL378963.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_184_SL378963.fastq.gz						
SRR24967737	SRP444808	new	PRJNA982532	SAMN35708940	Spring_2018_Pond20_22	Pond20_22	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_239_SL378964.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_239_SL378964.fastq.gz						
SRR24967736	SRP444808	new	PRJNA982532	SAMN35708941	Spring_2018_Pond27_68	Pond27_68	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_436_SL378965.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_436_SL378965.fastq.gz						
SRR24967735	SRP444808	new	PRJNA982532	SAMN35708942	Spring_2018_Pond6_10	Pond6_10	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_438_SL378966.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_438_SL378966.fastq.gz						
SRR24967734	SRP444808	new	PRJNA982532	SAMN35708943	Spring_2018_Pond6_24	Pond6_24	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_509_SL378967.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_509_SL378967.fastq.gz						
SRR24967733	SRP444808	new	PRJNA982532	SAMN35708944	Spring_2018_Pond6_25	Pond6_25	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_685_SL378968.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_685_SL378968.fastq.gz						
SRR24967732	SRP444808	new	PRJNA982532	SAMN35708945	Spring_2018_Pond17_19	Pond17_19	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_700_SL378969.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_700_SL378969.fastq.gz						
SRR24967731	SRP444808	new	PRJNA982532	SAMN35708946	Spring_2018_Pond22_61	Pond22_61	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_389-index_8nt_N5_71_SL378962.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_389-index_8nt_N5_71_SL378962.fastq.gz						
SRR24967730	SRP444808	new	PRJNA982532	SAMN35708947	Spring_2018_Pond24_23	Pond24_23	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_184_SL378972.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_184_SL378972.fastq.gz						
SRR24967729	SRP444808	new	PRJNA982532	SAMN35708948	Spring_2018_Pond17_73	Pond17_73	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_239_SL378973.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_239_SL378973.fastq.gz						
SRR24967727	SRP444808	new	PRJNA982532	SAMN35708949	Spring_2018_Pond21_22	Pond21_22	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_436_SL378974.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_436_SL378974.fastq.gz						
SRR24967726	SRP444808	new	PRJNA982532	SAMN35708950	Spring_2018_Pond15_11	Pond15_11	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_438_SL378975.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_438_SL378975.fastq.gz						
SRR24967725	SRP444808	new	PRJNA982532	SAMN35708951	Spring_2018_Pond6_11	Pond6_11	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_509_SL378976.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_509_SL378976.fastq.gz						
SRR24967724	SRP444808	new	PRJNA982532	SAMN35708952	Spring_2018_Pond6_12	Pond6_12	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_685_SL378977.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_685_SL378977.fastq.gz						
SRR24967723	SRP444808	new	PRJNA982532	SAMN35708953	Spring_2018_Pond17_1	Pond17_1	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_700_SL378978.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_700_SL378978.fastq.gz						
SRR24967722	SRP444808	new	PRJNA982532	SAMN35708954	Spring_2018_Pond17_20	Pond17_20	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_472-index_8nt_N5_71_SL378970.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_472-index_8nt_N5_71_SL378970.fastq.gz						
SRR24967721	SRP444808	new	PRJNA982532	SAMN35708955	Spring_2018_Pond5_1	Pond5_1	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_184_SL378980.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_184_SL378980.fastq.gz						
SRR24967720	SRP444808	new	PRJNA982532	SAMN35708956	Spring_2018_Pond24_24	Pond24_24	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_239_SL378981.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_239_SL378981.fastq.gz						
SRR24967719	SRP444808	new	PRJNA982532	SAMN35708957	Spring_2018_Pond17_74	Pond17_74	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_436_SL378983.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_436_SL378983.fastq.gz						
SRR24967718	SRP444808	new	PRJNA982532	SAMN35708958	Spring_2018_Pond22_21	Pond22_21	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_438_SL378984.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_438_SL378984.fastq.gz						
SRR24967716	SRP444808	new	PRJNA982532	SAMN35708959	Spring_2018_Pond15_14	Pond15_14	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_509_SL378985.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_509_SL378985.fastq.gz						
SRR24967715	SRP444808	new	PRJNA982532	SAMN35708960	Spring_2018_Pond15_15	Pond15_15	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_685_SL378986.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_685_SL378986.fastq.gz						
SRR24967714	SRP444808	new	PRJNA982532	SAMN35708961	Spring_2018_Pond6_13	Pond6_13	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_700_SL378987.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_700_SL378987.fastq.gz						
SRR24967713	SRP444808	new	PRJNA982532	SAMN35708962	Spring_2018_Pond17_2	Pond17_2	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_484-index_8nt_N5_71_SL378979.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_484-index_8nt_N5_71_SL378979.fastq.gz						
SRR24967712	SRP444808	new	PRJNA982532	SAMN35708963	Spring_2018_Pond17_22	Pond17_22	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_587-index_8nt_N5_184_SL378989.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_587-index_8nt_N5_184_SL378989.fastq.gz						
